1 65 
2 61 
3 30 
3 43 
3 65 
30 3 43 
30 3 65 
43 3 65 
4 5 
4 57 
4 61 
5 4 57 
5 4 61 
57 4 61 
5 6 
5 7 
5 8 
4 5 6 
4 5 7 
4 5 8 
6 5 7 
6 5 8 
7 5 8 
19 57 
30 31 
30 32 
3 30 31 
3 30 32 
31 30 32 
43 44 
43 45 
43 46 
3 43 44 
3 43 45 
3 43 46 
44 43 45 
44 43 46 
45 43 46 
57 58 
57 64 
4 57 19 
4 57 58 
4 57 64 
19 57 58 
19 57 64 
58 57 64 
59 60 
59 61 
59 62 
60 59 61 
60 59 62 
61 59 62 
2 61 4 
2 61 59 
4 61 59 
62 63 
62 65 
59 62 63 
59 62 65 
63 62 65 
1 65 3 
1 65 62 
3 65 62 
