1 65 
2 61 
3 30 
3 43 
3 65 
30 3 43 
30 3 65 
43 3 65 
4 5 
4 57 
4 61 
5 4 57 
5 4 61 
57 4 61 
5 6 
5 7 
5 8 
4 5 6 
4 5 7 
4 5 8 
6 5 7 
6 5 8 
7 5 8 
8 9 
8 17 
5 8 9 
5 8 17 
9 8 17 
9 10 
9 11 
8 9 10 
8 9 11 
10 9 11 
11 12 
11 13 
9 11 12 
9 11 13 
12 11 13 
13 14 
13 15 
11 13 14 
11 13 15 
14 13 15 
15 16 
15 17 
13 15 16 
13 15 17 
16 15 17 
17 18 
8 17 15 
8 17 18 
15 17 18 
19 20 
19 28 
19 57 
20 19 28 
20 19 57 
28 19 57 
20 21 
20 22 
19 20 21 
19 20 22 
21 20 22 
22 23 
22 24 
20 22 23 
20 22 24 
23 22 24 
24 25 
24 26 
22 24 25 
22 24 26 
25 24 26 
26 27 
26 28 
24 26 27 
24 26 28 
27 26 28 
28 29 
19 28 26 
19 28 29 
26 28 29 
30 31 
30 32 
3 30 31 
3 30 32 
31 30 32 
32 33 
32 41 
30 32 33 
30 32 41 
33 32 41 
33 34 
33 35 
32 33 34 
32 33 35 
34 33 35 
35 36 
35 37 
33 35 36 
33 35 37 
36 35 37 
37 38 
37 39 
35 37 38 
35 37 39 
38 37 39 
39 40 
39 41 
37 39 40 
37 39 41 
40 39 41 
41 42 
32 41 39 
32 41 42 
39 41 42 
43 44 
43 45 
43 46 
3 43 44 
3 43 45 
3 43 46 
44 43 45 
44 43 46 
45 43 46 
46 47 
46 55 
43 46 47 
43 46 55 
47 46 55 
47 48 
47 49 
46 47 48 
46 47 49 
48 47 49 
49 50 
49 51 
47 49 50 
47 49 51 
50 49 51 
51 52 
51 53 
49 51 52 
49 51 53 
52 51 53 
53 54 
53 55 
51 53 54 
51 53 55 
54 53 55 
55 56 
46 55 53 
46 55 56 
53 55 56 
57 58 
57 64 
4 57 19 
4 57 58 
4 57 64 
19 57 58 
19 57 64 
58 57 64 
59 60 
59 61 
59 62 
60 59 61 
60 59 62 
61 59 62 
2 61 4 
2 61 59 
4 61 59 
62 63 
62 65 
59 62 63 
59 62 65 
63 62 65 
1 65 3 
1 65 62 
3 65 62 
0 64 61 58
1 60 58 61
