1 2 
1 5 
1 7 
1 10 
2 1 5 
2 1 7 
2 1 10 
5 1 7 
5 1 10 
7 1 10 
2 3 
2 8 
2 11 
1 2 3 
1 2 8 
1 2 11 
3 2 8 
3 2 11 
8 2 11 
3 4 
3 9 
3 12 
2 3 4 
2 3 9 
2 3 12 
4 3 9 
4 3 12 
9 3 12 
4 13 
4 14 
4 19 
3 4 13 
3 4 14 
3 4 19 
13 4 14 
13 4 19 
14 4 19 
5 6 
5 15 
5 16 
1 5 6 
1 5 15 
1 5 16 
6 5 15 
6 5 16 
15 5 16 
6 17 
6 18 
6 37 
5 6 17 
5 6 18 
5 6 37 
17 6 18 
17 6 37 
18 6 37 
18 19 
6 18 19 
4 19 18 
20 21 
20 23 
21 20 23 
21 22 
20 21 22 
23 24 
23 25 
23 26 
20 23 24 
20 23 25 
20 23 26 
24 23 25 
24 23 26 
25 23 26 
26 27 
26 28 
23 26 27 
23 26 28 
27 26 28 
27 29 
27 30 
26 27 29 
26 27 30 
29 27 30 
28 31 
28 32 
26 28 31 
26 28 32 
31 28 32 
29 33 
29 34 
27 29 33 
27 29 34 
33 29 34 
31 33 
31 35 
28 31 33 
28 31 35 
33 31 35 
33 36 
29 33 31 
29 33 36 
31 33 36 
37 38 
6 37 38 
38 39 
38 40 
38 41 
37 38 39 
37 38 40 
37 38 41 
39 38 40 
39 38 41 
40 38 41 
