1 2 
1 3 
1 4 
1 18 
2 1 3 
2 1 4 
2 1 18 
3 1 4 
3 1 18 
4 1 18 
4 5 
4 6 
4 7 
1 4 5 
1 4 6 
1 4 7 
5 4 6 
5 4 7 
6 4 7 
7 8 
7 12 
4 7 8 
4 7 12 
8 7 12 
8 9 
8 10 
8 11 
7 8 9 
7 8 10 
7 8 11 
9 8 10 
9 8 11 
10 8 11 
12 13 
12 14 
12 15 
7 12 13 
7 12 14 
7 12 15 
13 12 14 
13 12 15 
14 12 15 
15 16 
15 17 
15 18 
12 15 16 
12 15 17 
12 15 18 
16 15 17 
16 15 18 
17 15 18 
18 19 
1 18 15 
1 18 19 
15 18 19 
19 20 
19 21 
19 22 
18 19 20 
18 19 21 
18 19 22 
20 19 21 
20 19 22 
21 19 22 
31 32 
32 33 
32 34 
31 32 33 
31 32 34 
33 32 34 
34 35 
34 36 
32 34 35 
32 34 36 
35 34 36 
43 44 
44 45 
44 46 
44 47 
43 44 45 
43 44 46 
43 44 47 
45 44 46 
45 44 47 
46 44 47 
48 49 
49 50 
49 51 
48 49 50 
50 49 51 
