1 2 
1 3 
1 4 
2 1 3 
2 1 4 
3 1 4 
4 5 
4 11 
1 4 5 
1 4 11 
5 4 11 
5 6 
5 30 
5 31 
4 5 6 
4 5 30 
4 5 31 
6 5 30 
6 5 31 
30 5 31 
6 7 
6 8 
6 25 
5 6 7 
5 6 8 
5 6 25 
7 6 8 
7 6 25 
8 6 25 
7 21 
7 22 
7 23 
6 7 21 
6 7 22 
6 7 23 
21 7 22 
21 7 23 
22 7 23 
8 9 
8 10 
8 26 
6 8 9 
6 8 10 
6 8 26 
9 8 10 
9 8 26 
10 8 26 
9 15 
9 24 
8 9 15 
8 9 24 
15 9 24 
10 11 
10 12 
10 27 
8 10 11 
8 10 12 
8 10 27 
11 10 12 
11 10 27 
12 10 27 
11 28 
4 11 10 
4 11 28 
10 11 28 
12 13 
10 12 13 
13 14 
13 18 
13 29 
12 13 14 
12 13 18 
12 13 29 
14 13 18 
14 13 29 
18 13 29 
14 20 
14 32 
14 33 
13 14 20 
13 14 32 
13 14 33 
20 14 32 
20 14 33 
32 14 33 
15 16 
15 17 
9 15 16 
9 15 17 
16 15 17 
17 34 
17 35 
17 36 
15 17 34 
15 17 35 
15 17 36 
34 17 35 
34 17 36 
35 17 36 
18 19 
18 37 
18 38 
13 18 19 
13 18 37 
13 18 38 
19 18 37 
19 18 38 
37 18 38 
19 39 
19 40 
19 41 
18 19 39 
18 19 40 
18 19 41 
39 19 40 
39 19 41 
40 19 41 
20 42 
20 43 
20 44 
14 20 42 
14 20 43 
14 20 44 
42 20 43 
42 20 44 
43 20 44 
