1 2 
1 8 
1 19 
2 1 8 
2 1 19 
8 1 19 
2 3 
2 7 
1 2 3 
1 2 7 
3 2 7 
3 4 
3 5 
3 6 
2 3 4 
2 3 5 
2 3 6 
4 3 5 
4 3 6 
5 3 6 
20 24 
20 63 
24 20 63 
21 35 
21 55 
21 64 
35 21 55 
35 21 64 
55 21 64 
22 43 
22 51 
22 64 
43 22 51 
43 22 64 
51 22 64 
23 59 
23 61 
23 64 
59 23 61 
59 23 64 
61 23 64 
51 52 
51 53 
51 54 
22 51 52 
22 51 53 
22 51 54 
52 51 53 
52 51 54 
53 51 54 
55 56 
55 57 
55 58 
21 55 56 
21 55 57 
21 55 58 
56 55 57 
56 55 58 
57 55 58 
59 60 
59 73 
59 77 
23 59 60 
23 59 73 
23 59 77 
60 59 73 
60 59 77 
73 59 77 
61 62 
61 65 
61 69 
23 61 62 
23 61 65 
23 61 69 
62 61 65 
62 61 69 
65 61 69 
63 64 
20 63 64 
21 64 22 
21 64 23 
21 64 63 
22 64 23 
22 64 63 
23 64 63 
65 66 
65 67 
65 68 
61 65 66 
61 65 67 
61 65 68 
66 65 67 
66 65 68 
67 65 68 
69 70 
69 71 
69 72 
61 69 70 
61 69 71 
61 69 72 
70 69 71 
70 69 72 
71 69 72 
73 74 
73 75 
73 76 
59 73 74 
59 73 75 
59 73 76 
74 73 75 
74 73 76 
75 73 76 
77 78 
77 79 
77 80 
59 77 78 
59 77 79 
59 77 80 
78 77 79 
78 77 80 
79 77 80 
