1 30 
1 32 
1 36 
30 1 32 
30 1 36 
32 1 36 
2 3 
2 4 
2 16 
3 2 4 
3 2 16 
4 2 16 
3 5 
3 6 
2 3 5 
2 3 6 
5 3 6 
4 7 
4 8 
2 4 7 
2 4 8 
7 4 8 
5 9 
5 10 
3 5 9 
3 5 10 
9 5 10 
7 9 
7 11 
4 7 9 
4 7 11 
9 7 11 
9 12 
5 9 7 
5 9 12 
7 9 12 
12 13 
12 14 
12 15 
9 12 13 
9 12 14 
9 12 15 
13 12 14 
13 12 15 
14 12 15 
16 17 
16 18 
2 16 17 
2 16 18 
17 16 18 
18 19 
18 30 
16 18 19 
16 18 30 
19 18 30 
19 20 
19 21 
18 19 20 
18 19 21 
20 19 21 
20 22 
20 23 
19 20 22 
19 20 23 
22 20 23 
21 24 
21 25 
19 21 24 
19 21 25 
24 21 25 
22 26 
22 27 
20 22 26 
20 22 27 
26 22 27 
24 26 
24 28 
21 24 26 
21 24 28 
26 24 28 
26 29 
22 26 24 
22 26 29 
24 26 29 
30 31 
1 30 18 
1 30 31 
18 30 31 
32 33 
32 34 
32 35 
1 32 33 
1 32 34 
1 32 35 
33 32 34 
33 32 35 
34 32 35 
36 37 
36 38 
36 39 
1 36 37 
1 36 38 
1 36 39 
37 36 38 
37 36 39 
38 36 39 
39 40 
39 41 
39 42 
36 39 40 
36 39 41 
36 39 42 
40 39 41 
40 39 42 
41 39 42 
42 43 
42 44 
39 42 43 
39 42 44 
43 42 44 
43 45 
43 46 
42 43 45 
42 43 46 
45 43 46 
44 47 
44 48 
42 44 47 
42 44 48 
47 44 48 
45 49 
45 50 
43 45 49 
43 45 50 
49 45 50 
47 49 
47 51 
44 47 49 
44 47 51 
49 47 51 
49 52 
45 49 47 
45 49 52 
47 49 52 
